Country,Year,Air Pollution,EnergyConsExajoules,EnergyConsPCGigajoule,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renewables,Total CO2 emission,Oil Production,Urban Population,HDI
Vietnam,2020,28,4.222682719,43.38137922,0.996836588,0.3182184,2.09954715,0,0.693800481,0.1142801,343.0313905,10.0239,0.3734,0.7
Turkey,2020,18.7,6.441361235,76.29388204,1.839630312,1.66355667,1.700520362,0,0.738353587,0.499300305,414.9567457,0,0.76,0.83
Taiwan,2020,15,4.702096579,199.182301,1.829379424,0.895840611,1.559637257,0.285245883,0.028545002,0.103448402,270.4430423,0,0.79,0.916
South Korea,2020,19.5,11.98634979,233.7664195,5.060430889,2.0713431,3.024573628,1.453288518,0.036657815,0.340055835,614.1634737,0,0.815,0.916
Iran,2020,27.2,12.02317914,143.1450137,3.220691492,8.434693744,0.074184069,0.05743246,0.219394949,0.016782425,856.8633172,143.2497498,0.76,0.78
Czech Republic,2020,12.3,1.591545175,148.6987639,0.368943952,0.3046455,0.523320148,0.27257191,0.020254678,0.101808987,89.86156272,0,0.74,0.892
Norway,2020,5.7,2.012702108,373.936174,0.377468856,0.158652836,0.032315774,0,1.330324746,0.113939897,34.67921827,92.03597487,0.82974,0.959
Switzerland,2020,9,1.11228151,128.2863926,0.370489694,0.11933,0.00366,0.20857989,0.354203828,0.056018098,37,0,0.73915,0.956
Australia,2020,7.6,5.736940993,223.3282516,1.879802051,1.551442124,1.686691735,0,0.136344685,0.482660398,441.7329901,19.06032808,0.86241,0.947
Germany,2020,10.1,12.35654105,148.5599543,4.220222148,3.13605,1.8061,0.584118021,0.173227936,2.436822948,618.1317698,0,0.77453,0.944
Sweden,2020,5,2.225696606,214.7883097,0.529122984,0.0457803,0.068020051,0.446355522,0.682067272,0.454350477,44.45662356,0,0.87977,0.942
Singapore,2020,11.8,3.439437605,609.4646564,2.957103442,0.453540979,0.018133031,0,0,0.010660153,50,0,1,0.939
Netherlands,2020,9.7,3.38463179,193.8674953,1.509797514,1.3015,0.1721,0.037083155,0.000439307,0.363711815,174.827716,0,0.92236,0.939
Finland,2020,5,1.129152232,204.2389204,0.35308038,0.074586,0.113479,0.213483889,0.149641185,0.224881778,50,0,0.85517,0.938
New Zealand,2020,7,0.861220682,170.6331884,0.29832514,0.164685687,0.061473417,0,0.229447063,0.107289375,34.76089025,0,0.86699,0.936
Canada,2020,7.3,13.8224428,363.3927523,4.113048186,4.077486,0.525541,0.884696267,3.654641794,0.56702955,582.2436254,252.022685,0.81562,0.931
Belgium,2020,8.9,2.435984696,211.1252889,1.152476688,0.61193448,0.100025122,0.312413482,0.002523444,0.25661148,108.2250761,0,0.98079,0.928
United Kingdom,2020,8.3,7.060205619,105.2692842,2.353001256,2.629084457,0.204345566,0.45615669,0.063855701,1.353761948,329.1131205,48.98526,0.83903,0.924
Japan,2020,9.8,17.13192222,135.4768021,6.486882277,3.748590179,4.574706435,0.390118874,0.731922682,1.199701778,1058.274678,0,0.91782,0.923
Israel,2020,16.9,1.028635266,118.8412584,0.396472156,0.406746,0.181693429,0,0,0.04372368,65.07518388,0,0.92587,0.917
Austria,2020,10.9,1.441154375,161.6928216,0.478454025,0.306990685,0.10431431,0,0.397076306,0.154319048,57.91684724,0,0.58748,0.913
United Arab Emirates,2020,29.2,4.259306241,465.126865,1.61577234,2.506422868,0.079145454,0.014732071,0,0.043233507,280.6034127,166.5827438,0.87048,0.912
Spain,2020,10.4,5.182009857,109.2557228,2.21428067,1.169648313,0.123789734,0.52892947,0.288430163,0.856931508,231.9315488,0,0.8081,0.899
France,2020,11.1,8.857057185,135.8715617,2.682411559,1.46098225,0.193618883,3.210196632,0.578357327,0.731490534,259.30208,0,0.80975,0.898
Italy,2020,18.5,5.92384237,99.58774168,2.107769881,2.434505663,0.213310217,0,0.432347736,0.735908874,295.2862893,5.393780196,0.71039,0.889
Greece,2020,18.4,0.996553786,93.15458586,0.516453269,0.22833576,0.07666148,0,0.031221873,0.143881404,58.97502139,0,0.79715,0.886
Poland,2020,16.9,4.08304803,107.5962941,1.285209753,0.758325,1.722271,0,0.020024817,0.297217461,293.5657849,0,0.60043,0.876
Saudi Arabia,2020,23.3,10.61518399,303.1757643,6.539722548,4.0698,0.003701466,0,0,0.001959976,670.4143547,519.5829021,0.84287,0.87
Portugal,2020,9.1,0.953522868,92.65959885,0.410023078,0.217319746,0.023685322,0,0.11424043,0.188254292,42,0,0.6631,0.863
Qatar,2020,44.3,1.853049386,658.1412662,0.450456484,1.400920631,0.00026958,0,0,0.001402691,131.2675123,72.04344897,0.99235,0.854
Chile,2020,19.3,1.619842619,84.02815212,0.701851931,0.224475676,0.263324809,0,0.205363617,0.224826586,85.7229925,0,0.87727,0.852
Hungary,2020,14.3,0.974150816,99.7892372,0.322738115,0.366947,0.07054197,0.145661163,0.002306932,0.065955636,45.98132387,0,0.71942,0.849
Argentina,2020,14.2,3.171094586,70.08385248,1.070557521,1.581524804,0.036055171,0.096736286,0.223784854,0.162435949,193.7641277,27.65726852,0.92111,0.84
Oman,2020,44.4,1.335192012,290.069957,0.385660973,0.932966736,0.013573438,0,0,0.002990866,97.58556493,46.1110522,0.86276,0.827
Romania,2020,15.8,1.32965525,69.01312888,0.418213112,0.405363393,0.150188878,0.104026839,0.145420484,0.106442544,70.71800521,3.457,0.54194,0.824
Kuwait,2020,34,1.614130895,377.9670337,0.815025017,0.79722465,0.001291729,0,0,0.0005895,119.1869071,130.3403371,1,0.822
Kazakhstan,2020,21.9,2.893022892,154.0751512,0.591156853,0.627465021,1.561572067,0,0.091328488,0.021500463,273.8407915,85.957182,0.57671,0.814
Malaysia,2020,15.6,4.102116331,126.5417428,1.427807802,1.379396331,0.979369562,0,0.264004562,0.051538074,269.4700149,28.05243506,0.7716,0.806
Thailand,2020,21.4,5.06976026,72.61264278,2.264747022,1.686705131,0.763859803,0,0.042922634,0.311525669,303.6188374,15.13625646,0.5143,0.802
Sri Lanka,2020,22.4,0.371701002,17.35849858,0.249379217,0,0.06297072,0,0.047232183,0.012118881,24,0,0.18713,0.78
Ukraine,2020,19.2,3.305108024,78.87634178,0.438423954,1.05619469,0.955240401,0.691359322,0.071513045,0.092376613,184.494951,0,0.69608,0.775
China,2020,34.7,147.5804732,102.4910661,28.74402919,12.11822124,82.37612309,3.322399122,12.49628438,8.52341623,11461.21596,194.769,0.61428,0.764
Peru,2020,17.9,1.039116482,31.51521394,0.405811284,0.256688581,0.042282931,0,0.288423285,0.045910401,53.88631179,5.46646662,0.78297,0.762
Brazil,2020,14.2,12.00091052,56.41147981,4.217808478,1.131253109,0.587278123,0.127494101,3.747641985,2.189434725,448.6188005,159.3449272,0.87073,0.758
Colombia,2020,15.6,1.733450254,34.06744219,0.556675427,0.472416367,0.170927491,0,0.471194263,0.062236705,98.68110961,41.25198148,0.81425,0.756
Mexico,2020,18.9,6.430212394,49.80807402,2.465847187,3.014297733,0.239367599,0.101413327,0.254663049,0.354623499,424.7295483,95.11122476,0.80731,0.756
Turkmenistan,2020,17,1.339170933,222.0409128,0.272659118,1.066415929,0,0,2.99E-05,6.60E-05,154.1506172,10.40090909,0.52516,0.741
Algeria,2020,20.2,2.355888634,53.7248554,0.761886596,1.569645,0.017338858,0,0.00046895,0.00654923,231.8502024,57.516,0.73733,0.736
Egypt,2020,29.1,3.541314934,34.60545795,1.178306228,2.099094546,0.031440147,0,0.140907245,0.091566768,251.0865017,31.06637003,0.43,0.734
Ecuador,2020,7.6,0.656447824,37.20705681,0.397722062,0.019865859,0.00101064,0,0.230062243,0.00778702,39.07250185,25.76354208,0.64166,0.731
Azerbaijan,2020,17.6,0.638583731,62.98166825,0.18072841,0.44520435,3.36E-05,0,0.010111739,0.0025056,43.21497051,35.0263,0.56397,0.73
South Africa,2020,18,4.952758405,83.37892891,0.964338171,0.142939056,3.559610266,0.12655849,0.006570498,0.152741923,472.5569846,0,0.67354,0.727
Uzbekistan,2020,29.9,1.87564842,56.04102937,0.157146224,1.56799906,0.103172609,0,0.047265804,6.47E-05,137.2734896,2.781504,0.50416,0.721
Philippines,2020,12.8,1.835846884,16.72517215,0.748363306,0.138342028,0.727748244,0,0.067997959,0.153395345,139.9348423,0,0.47408,0.71
Indonesia,2020,40.7,8.098667004,29.57010768,2.696430853,1.350635242,3.25306043,0,0.229984147,0.568556332,694.3473516,36.36855324,0.56641,0.709
Iraq,2020,49.7,1.986157165,49.379257,1.287917411,0.665530029,0,0,0.029139873,0.003569852,276.8688978,202.0378404,0.70893,0.679
